column,family,dtype,missing_count,missing_pct
V323,vesta_V,float32,508189,86.05
DeviceInfo,device,category,471874,79.91
id_13,identity_id,float32,463220,78.44
id_16,identity_id,category,461200,78.1
V275,vesta_V,float32,460110,77.91
V277,vesta_V,float32,460110,77.91
V276,vesta_V,float32,460110,77.91
V249,vesta_V,float32,460110,77.91
V274,vesta_V,float32,460110,77.91
V269,vesta_V,float32,460110,77.91
V263,vesta_V,float32,460110,77.91
V248,vesta_V,float32,460110,77.91
V273,vesta_V,float32,460110,77.91
V247,vesta_V,float32,460110,77.91
V246,vesta_V,float32,460110,77.91
V267,vesta_V,float32,460110,77.91
V264,vesta_V,float32,460110,77.91
V265,vesta_V,float32,460110,77.91
V266,vesta_V,float32,460110,77.91
V235,vesta_V,float32,460110,77.91
V233,vesta_V,float32,460110,77.91
V236,vesta_V,float32,460110,77.91
V278,vesta_V,float32,460110,77.91
V261,vesta_V,float32,460110,77.91
V268,vesta_V,float32,460110,77.91
V260,vesta_V,float32,460110,77.91
V262,vesta_V,float32,460110,77.91
V244,vesta_V,float32,460110,77.91
V217,vesta_V,float32,460110,77.91
V218,vesta_V,float32,460110,77.91
V219,vesta_V,float32,460110,77.91
V243,vesta_V,float32,460110,77.91
V242,vesta_V,float32,460110,77.91
V241,vesta_V,float32,460110,77.91
V240,vesta_V,float32,460110,77.91
V231,vesta_V,float32,460110,77.91
V257,vesta_V,float32,460110,77.91
V254,vesta_V,float32,460110,77.91
V232,vesta_V,float32,460110,77.91
V237,vesta_V,float32,460110,77.91
V229,vesta_V,float32,460110,77.91
V224,vesta_V,float32,460110,77.91
V223,vesta_V,float32,460110,77.91
V225,vesta_V,float32,460110,77.91
V228,vesta_V,float32,460110,77.91
V226,vesta_V,float32,460110,77.91
V230,vesta_V,float32,460110,77.91
V252,vesta_V,float32,460110,77.91
V258,vesta_V,float32,460110,77.91
V253,vesta_V,float32,460110,77.91
id_06,identity_id,float32,453675,76.82
id_05,identity_id,float32,453675,76.82
R_emaildomain,email,category,453249,76.75
id_20,identity_id,float32,451279,76.42
id_19,identity_id,float32,451222,76.41
id_17,identity_id,float32,451171,76.4
V205,vesta_V,float32,450909,76.36
V204,vesta_V,float32,450909,76.36
V186,vesta_V,float32,450909,76.36
V183,vesta_V,float32,450909,76.36
V172,vesta_V,float32,450909,76.36
V207,vesta_V,float32,450909,76.36
V206,vesta_V,float32,450909,76.36
V193,vesta_V,float32,450909,76.36
V202,vesta_V,float32,450909,76.36
V196,vesta_V,float32,450909,76.36
V192,vesta_V,float32,450909,76.36
V203,vesta_V,float32,450909,76.36
V216,vesta_V,float32,450909,76.36
V191,vesta_V,float32,450909,76.36
V212,vesta_V,float32,450909,76.36
V211,vesta_V,float32,450909,76.36
V190,vesta_V,float32,450909,76.36
V176,vesta_V,float32,450909,76.36
V179,vesta_V,float32,450909,76.36
V214,vesta_V,float32,450909,76.36
V213,vesta_V,float32,450909,76.36
V168,vesta_V,float32,450909,76.36
V173,vesta_V,float32,450909,76.36
V182,vesta_V,float32,450909,76.36
V187,vesta_V,float32,450909,76.36
V167,vesta_V,float32,450909,76.36
V215,vesta_V,float32,450909,76.36
V199,vesta_V,float32,450909,76.36
V177,vesta_V,float32,450909,76.36
V178,vesta_V,float32,450909,76.36
V181,vesta_V,float32,450909,76.36
V201,vesta_V,float32,450721,76.32
V189,vesta_V,float32,450721,76.32
V169,vesta_V,float32,450721,76.32
V170,vesta_V,float32,450721,76.32
V208,vesta_V,float32,450721,76.32
V197,vesta_V,float32,450721,76.32
V194,vesta_V,float32,450721,76.32
V195,vesta_V,float32,450721,76.32
V209,vesta_V,float32,450721,76.32
V210,vesta_V,float32,450721,76.32
V180,vesta_V,float32,450721,76.32
V174,vesta_V,float32,450721,76.32
V198,vesta_V,float32,450721,76.32
V171,vesta_V,float32,450721,76.32
V185,vesta_V,float32,450721,76.32
V188,vesta_V,float32,450721,76.32
V184,vesta_V,float32,450721,76.32
V175,vesta_V,float32,450721,76.32
V200,vesta_V,float32,450721,76.32
id_31,identity_id,category,450258,76.25
DeviceType,device,category,449730,76.16
id_02,identity_id,float32,449668,76.15
id_36,identity_id,category,449555,76.13
id_35,identity_id,category,449555,76.13
id_15,identity_id,category,449555,76.13
id_29,identity_id,category,449562,76.13
id_28,identity_id,category,449562,76.13
id_37,identity_id,category,449555,76.13
id_11,identity_id,float32,449562,76.13
id_38,identity_id,category,449555,76.13
V255,vesta_V,float32,449124,76.05
V256,vesta_V,float32,449124,76.05
V270,vesta_V,float32,449124,76.05
V271,vesta_V,float32,449124,76.05
V272,vesta_V,float32,449124,76.05
V251,vesta_V,float32,449124,76.05
V259,vesta_V,float32,449124,76.05
V222,vesta_V,float32,449124,76.05
V221,vesta_V,float32,449124,76.05
V220,vesta_V,float32,449124,76.05
V250,vesta_V,float32,449124,76.05
V234,vesta_V,float32,449124,76.05
V238,vesta_V,float32,449124,76.05
V239,vesta_V,float32,449124,76.05
V227,vesta_V,float32,449124,76.05
V245,vesta_V,float32,449124,76.05
id_12,identity_id,category,446307,75.58
id_01,identity_id,float32,446307,75.58
dist1,distance,float32,352271,59.65
M5,match_M,category,350482,59.35
M7,match_M,category,346265,58.64
M9,match_M,category,346252,58.63
M8,match_M,category,346252,58.63
D5,timedelta_D,float32,309841,52.47
M4,match_M,category,281444,47.66
D2,timedelta_D,float32,280797,47.55
V7,vesta_V,float32,279287,47.29
V6,vesta_V,float32,279287,47.29
V5,vesta_V,float32,279287,47.29
V11,vesta_V,float32,279287,47.29
V9,vesta_V,float32,279287,47.29
V4,vesta_V,float32,279287,47.29
D11,timedelta_D,float32,279287,47.29
V3,vesta_V,float32,279287,47.29
V10,vesta_V,float32,279287,47.29
V1,vesta_V,float32,279287,47.29
V2,vesta_V,float32,279287,47.29
V8,vesta_V,float32,279287,47.29
M3,match_M,category,271100,45.91
M1,match_M,category,271100,45.91
M2,match_M,category,271100,45.91
D3,timedelta_D,float32,262878,44.51
M6,match_M,category,169360,28.68
V40,vesta_V,float32,168969,28.61
V44,vesta_V,float32,168969,28.61
V39,vesta_V,float32,168969,28.61
V36,vesta_V,float32,168969,28.61
V46,vesta_V,float32,168969,28.61
V49,vesta_V,float32,168969,28.61
V52,vesta_V,float32,168969,28.61
V50,vesta_V,float32,168969,28.61
V51,vesta_V,float32,168969,28.61
V45,vesta_V,float32,168969,28.61
V37,vesta_V,float32,168969,28.61
V47,vesta_V,float32,168969,28.61
V41,vesta_V,float32,168969,28.61
V35,vesta_V,float32,168969,28.61
V42,vesta_V,float32,168969,28.61
V43,vesta_V,float32,168969,28.61
V38,vesta_V,float32,168969,28.61
V48,vesta_V,float32,168969,28.61
D4,timedelta_D,float32,168922,28.6
P_emaildomain,email,category,94456,15.99
V83,vesta_V,float32,89164,15.1
V76,vesta_V,float32,89164,15.1
V75,vesta_V,float32,89164,15.1
V77,vesta_V,float32,89164,15.1
V78,vesta_V,float32,89164,15.1
V81,vesta_V,float32,89164,15.1
V82,vesta_V,float32,89164,15.1
V79,vesta_V,float32,89164,15.1
V80,vesta_V,float32,89164,15.1
V84,vesta_V,float32,89164,15.1
V85,vesta_V,float32,89164,15.1
V87,vesta_V,float32,89164,15.1
V86,vesta_V,float32,89164,15.1
V91,vesta_V,float32,89164,15.1
V94,vesta_V,float32,89164,15.1
V93,vesta_V,float32,89164,15.1
V92,vesta_V,float32,89164,15.1
V89,vesta_V,float32,89164,15.1
V88,vesta_V,float32,89164,15.1
V90,vesta_V,float32,89164,15.1
D15,timedelta_D,float32,89113,15.09
V65,vesta_V,float32,77096,13.06
V61,vesta_V,float32,77096,13.06
V63,vesta_V,float32,77096,13.06
V62,vesta_V,float32,77096,13.06
V68,vesta_V,float32,77096,13.06
V58,vesta_V,float32,77096,13.06
V73,vesta_V,float32,77096,13.06
V74,vesta_V,float32,77096,13.06
V72,vesta_V,float32,77096,13.06
V66,vesta_V,float32,77096,13.06
V67,vesta_V,float32,77096,13.06
V64,vesta_V,float32,77096,13.06
V57,vesta_V,float32,77096,13.06
V55,vesta_V,float32,77096,13.06
V53,vesta_V,float32,77096,13.06
V54,vesta_V,float32,77096,13.06
V71,vesta_V,float32,77096,13.06
V60,vesta_V,float32,77096,13.06
V56,vesta_V,float32,77096,13.06
V69,vesta_V,float32,77096,13.06
V59,vesta_V,float32,77096,13.06
V70,vesta_V,float32,77096,13.06
V19,vesta_V,float32,76073,12.88
V23,vesta_V,float32,76073,12.88
V32,vesta_V,float32,76073,12.88
V33,vesta_V,float32,76073,12.88
V21,vesta_V,float32,76073,12.88
V34,vesta_V,float32,76073,12.88
V26,vesta_V,float32,76073,12.88
V13,vesta_V,float32,76073,12.88
V29,vesta_V,float32,76073,12.88
V31,vesta_V,float32,76073,12.88
V28,vesta_V,float32,76073,12.88
V25,vesta_V,float32,76073,12.88
V27,vesta_V,float32,76073,12.88
V30,vesta_V,float32,76073,12.88
V14,vesta_V,float32,76073,12.88
V22,vesta_V,float32,76073,12.88
V18,vesta_V,float32,76073,12.88
V24,vesta_V,float32,76073,12.88
V16,vesta_V,float32,76073,12.88
V15,vesta_V,float32,76073,12.88
V17,vesta_V,float32,76073,12.88
V20,vesta_V,float32,76073,12.88
V12,vesta_V,float32,76073,12.88
D10,timedelta_D,float32,76022,12.87
addr2,address,float32,65706,11.13
addr1,address,float32,65706,11.13
card2,card,float32,8933,1.51
card5,card,float32,4259,0.72
card4,card,category,1577,0.27
card3,card,float32,1565,0.27
card6,card,category,1571,0.27
V281,vesta_V,float32,1269,0.21
V301,vesta_V,float32,1269,0.21
V289,vesta_V,float32,1269,0.21
V296,vesta_V,float32,1269,0.21
V283,vesta_V,float32,1269,0.21
V282,vesta_V,float32,1269,0.21
V288,vesta_V,float32,1269,0.21
V300,vesta_V,float32,1269,0.21
D1,timedelta_D,float32,1269,0.21
V315,vesta_V,float32,1269,0.21
V314,vesta_V,float32,1269,0.21
V313,vesta_V,float32,1269,0.21
V96,vesta_V,float32,314,0.05
V98,vesta_V,float32,314,0.05
V97,vesta_V,float32,314,0.05
V95,vesta_V,float32,314,0.05
V117,vesta_V,float32,314,0.05
V119,vesta_V,float32,314,0.05
V118,vesta_V,float32,314,0.05
V109,vesta_V,float32,314,0.05
V108,vesta_V,float32,314,0.05
V107,vesta_V,float32,314,0.05
V106,vesta_V,float32,314,0.05
V128,vesta_V,float32,314,0.05
V129,vesta_V,float32,314,0.05
V101,vesta_V,float32,314,0.05
V102,vesta_V,float32,314,0.05
V124,vesta_V,float32,314,0.05
V105,vesta_V,float32,314,0.05
V103,vesta_V,float32,314,0.05
V104,vesta_V,float32,314,0.05
V126,vesta_V,float32,314,0.05
V125,vesta_V,float32,314,0.05
V127,vesta_V,float32,314,0.05
V116,vesta_V,float32,314,0.05
V137,vesta_V,float32,314,0.05
V136,vesta_V,float32,314,0.05
V134,vesta_V,float32,314,0.05
V135,vesta_V,float32,314,0.05
V130,vesta_V,float32,314,0.05
V131,vesta_V,float32,314,0.05
V132,vesta_V,float32,314,0.05
V133,vesta_V,float32,314,0.05
V120,vesta_V,float32,314,0.05
V123,vesta_V,float32,314,0.05
V121,vesta_V,float32,314,0.05
V122,vesta_V,float32,314,0.05
V111,vesta_V,float32,314,0.05
V112,vesta_V,float32,314,0.05
V113,vesta_V,float32,314,0.05
V114,vesta_V,float32,314,0.05
V110,vesta_V,float32,314,0.05
V115,vesta_V,float32,314,0.05
V100,vesta_V,float32,314,0.05
V99,vesta_V,float32,314,0.05
card1,card,int16,0,0.0
C1,counting_C,float32,0,0.0
C10,counting_C,float32,0,0.0
C11,counting_C,float32,0,0.0
C12,counting_C,float32,0,0.0
C13,counting_C,float32,0,0.0
C14,counting_C,float32,0,0.0
C2,counting_C,float32,0,0.0
C3,counting_C,float32,0,0.0
C4,counting_C,float32,0,0.0
C5,counting_C,float32,0,0.0
TransactionAmt,amount,float64,0,0.0
V318,vesta_V,float32,12,0.0
V319,vesta_V,float32,12,0.0
V320,vesta_V,float32,12,0.0
V321,vesta_V,float32,12,0.0
V303,vesta_V,float32,12,0.0
V304,vesta_V,float32,12,0.0
V305,vesta_V,float32,12,0.0
V306,vesta_V,float32,12,0.0
V307,vesta_V,float32,12,0.0
V308,vesta_V,float32,12,0.0
V309,vesta_V,float32,12,0.0
V310,vesta_V,float32,12,0.0
V311,vesta_V,float32,12,0.0
V312,vesta_V,float32,12,0.0
V316,vesta_V,float32,12,0.0
V317,vesta_V,float32,12,0.0
V290,vesta_V,float32,12,0.0
V291,vesta_V,float32,12,0.0
V292,vesta_V,float32,12,0.0
V293,vesta_V,float32,12,0.0
V294,vesta_V,float32,12,0.0
V295,vesta_V,float32,12,0.0
V297,vesta_V,float32,12,0.0
V298,vesta_V,float32,12,0.0
V299,vesta_V,float32,12,0.0
V302,vesta_V,float32,12,0.0
V279,vesta_V,float32,12,0.0
V280,vesta_V,float32,12,0.0
V284,vesta_V,float32,12,0.0
V285,vesta_V,float32,12,0.0
V286,vesta_V,float32,12,0.0
V287,vesta_V,float32,12,0.0
ProductCD,product,category,0,0.0
isFraud,target,int8,0,0.0
TransactionDT,time,int32,0,0.0
C6,counting_C,float32,0,0.0
C7,counting_C,float32,0,0.0
C8,counting_C,float32,0,0.0
C9,counting_C,float32,0,0.0
has_identity,engineered,int8,0,0.0
TransactionID,identifier,int32,0,0.0
