column,family,dtype,missing_count,missing_pct,unique_count,min_value,max_value
M7,match_M,category,346265,58.64,2,,
M8,match_M,category,346252,58.63,2,,
M9,match_M,category,346252,58.63,2,,
ProductCD,product,category,0,0.0,5,,
isFraud,target,int8,0,0.0,2,0.0,1.0
TransactionDT,time,int32,0,0.0,573349,86400.0,15811131.0
D1,timedelta_D,float32,1269,0.21,641,0.0,640.0
D10,timedelta_D,float32,76022,12.87,818,0.0,876.0
D11,timedelta_D,float32,279287,47.29,676,-53.0,670.0
D12,timedelta_D,float32,525823,89.04,635,-83.0,648.0
D13,timedelta_D,float32,528588,89.51,577,0.0,847.0
D14,timedelta_D,float32,528353,89.47,802,-193.0,878.0
D15,timedelta_D,float32,89113,15.09,859,-83.0,879.0
D2,timedelta_D,float32,280797,47.55,641,0.0,640.0
D3,timedelta_D,float32,262878,44.51,649,0.0,819.0
D4,timedelta_D,float32,168922,28.6,808,-122.0,869.0
D5,timedelta_D,float32,309841,52.47,688,0.0,819.0
D6,timedelta_D,float32,517353,87.61,829,-83.0,873.0
D7,timedelta_D,float32,551623,93.41,597,0.0,843.0
D8,timedelta_D,float32,515614,87.31,12353,0.0,1707.7916259765625
D9,timedelta_D,float32,515614,87.31,24,0.0,0.9583330154418945
V1,vesta_V,float32,279287,47.29,2,0.0,1.0
V10,vesta_V,float32,279287,47.29,5,0.0,4.0
V100,vesta_V,float32,314,0.05,29,0.0,28.0
V101,vesta_V,float32,314,0.05,870,0.0,869.0
V102,vesta_V,float32,314,0.05,1285,0.0,1285.0
V103,vesta_V,float32,314,0.05,928,0.0,928.0
V104,vesta_V,float32,314,0.05,16,0.0,15.0
V105,vesta_V,float32,314,0.05,100,0.0,99.0
V106,vesta_V,float32,314,0.05,56,0.0,55.0
V107,vesta_V,float32,314,0.05,2,0.0,1.0
V108,vesta_V,float32,314,0.05,8,0.0,7.0
V109,vesta_V,float32,314,0.05,8,0.0,7.0
V11,vesta_V,float32,279287,47.29,6,0.0,5.0
V110,vesta_V,float32,314,0.05,8,0.0,7.0
V111,vesta_V,float32,314,0.05,10,0.0,9.0
V112,vesta_V,float32,314,0.05,10,0.0,9.0
V113,vesta_V,float32,314,0.05,10,0.0,9.0
V114,vesta_V,float32,314,0.05,7,0.0,6.0
V115,vesta_V,float32,314,0.05,7,0.0,6.0
V116,vesta_V,float32,314,0.05,7,0.0,6.0
V117,vesta_V,float32,314,0.05,4,0.0,3.0
V118,vesta_V,float32,314,0.05,4,0.0,3.0
V119,vesta_V,float32,314,0.05,4,0.0,3.0
V12,vesta_V,float32,76073,12.88,4,0.0,3.0
V120,vesta_V,float32,314,0.05,4,0.0,3.0
V121,vesta_V,float32,314,0.05,4,0.0,3.0
V122,vesta_V,float32,314,0.05,4,0.0,3.0
V123,vesta_V,float32,314,0.05,14,0.0,13.0
V124,vesta_V,float32,314,0.05,14,0.0,13.0
V125,vesta_V,float32,314,0.05,14,0.0,13.0
V126,vesta_V,float32,314,0.05,10299,0.0,160000.0
V127,vesta_V,float32,314,0.05,24414,0.0,160000.0
V128,vesta_V,float32,314,0.05,14507,0.0,160000.0
V129,vesta_V,float32,314,0.05,1968,0.0,55125.0
V13,vesta_V,float32,76073,12.88,7,0.0,6.0
V130,vesta_V,float32,314,0.05,12332,0.0,55125.0
V131,vesta_V,float32,314,0.05,4444,0.0,55125.0
V132,vesta_V,float32,314,0.05,6560,0.0,93736.0
V133,vesta_V,float32,314,0.05,9949,0.0,133915.0
V134,vesta_V,float32,314,0.05,8178,0.0,98476.0
V135,vesta_V,float32,314,0.05,3724,0.0,90750.0
V136,vesta_V,float32,314,0.05,4852,0.0,90750.0
V137,vesta_V,float32,314,0.05,4252,0.0,90750.0
V138,vesta_V,float32,508595,86.12,23,0.0,22.0
V139,vesta_V,float32,508595,86.12,34,0.0,33.0
V14,vesta_V,float32,76073,12.88,2,0.0,1.0
V140,vesta_V,float32,508595,86.12,34,0.0,33.0
V141,vesta_V,float32,508595,86.12,6,0.0,5.0
V142,vesta_V,float32,508595,86.12,10,0.0,9.0
V143,vesta_V,float32,508589,86.12,870,0.0,869.0
V144,vesta_V,float32,508589,86.12,63,0.0,62.0
V145,vesta_V,float32,508589,86.12,260,0.0,297.0
V146,vesta_V,float32,508595,86.12,25,0.0,24.0
V147,vesta_V,float32,508595,86.12,27,0.0,26.0
V148,vesta_V,float32,508595,86.12,21,0.0,20.0
V149,vesta_V,float32,508595,86.12,21,0.0,20.0
V15,vesta_V,float32,76073,12.88,8,0.0,7.0
V150,vesta_V,float32,508589,86.12,1996,1.0,3389.0
V151,vesta_V,float32,508589,86.12,56,1.0,57.0
V152,vesta_V,float32,508589,86.12,39,1.0,69.0
V153,vesta_V,float32,508595,86.12,19,0.0,18.0
V154,vesta_V,float32,508595,86.12,19,0.0,18.0
V155,vesta_V,float32,508595,86.12,25,0.0,24.0
V156,vesta_V,float32,508595,86.12,25,0.0,24.0
V157,vesta_V,float32,508595,86.12,25,0.0,24.0
V158,vesta_V,float32,508595,86.12,25,0.0,24.0
V159,vesta_V,float32,508589,86.12,6663,0.0,55125.0
V16,vesta_V,float32,76073,12.88,15,0.0,15.0
V160,vesta_V,float32,508589,86.12,9621,0.0,641511.4375
V161,vesta_V,float32,508595,86.12,79,0.0,3300.0
V162,vesta_V,float32,508595,86.12,185,0.0,3300.0
V163,vesta_V,float32,508595,86.12,106,0.0,3300.0
V164,vesta_V,float32,508589,86.12,1978,0.0,93736.0
V165,vesta_V,float32,508589,86.12,2547,0.0,98476.0
V166,vesta_V,float32,508589,86.12,987,0.0,104060.0
V167,vesta_V,float32,450909,76.36,873,0.0,872.0
V168,vesta_V,float32,450909,76.36,965,0.0,964.0
V169,vesta_V,float32,450721,76.32,20,0.0,19.0
V17,vesta_V,float32,76073,12.88,16,0.0,15.0
V170,vesta_V,float32,450721,76.32,49,0.0,48.0
V171,vesta_V,float32,450721,76.32,62,0.0,61.0
V172,vesta_V,float32,450909,76.36,32,0.0,31.0
V173,vesta_V,float32,450909,76.36,8,0.0,7.0
V174,vesta_V,float32,450721,76.32,9,0.0,8.0
V175,vesta_V,float32,450721,76.32,15,0.0,14.0
V176,vesta_V,float32,450909,76.36,49,0.0,48.0
V177,vesta_V,float32,450909,76.36,862,0.0,861.0
V178,vesta_V,float32,450909,76.36,1236,0.0,1235.0
V179,vesta_V,float32,450909,76.36,921,0.0,920.0
V18,vesta_V,float32,76073,12.88,16,0.0,15.0
V180,vesta_V,float32,450721,76.32,84,0.0,83.0
V181,vesta_V,float32,450909,76.36,25,0.0,24.0
V182,vesta_V,float32,450909,76.36,84,0.0,83.0
V183,vesta_V,float32,450909,76.36,42,0.0,41.0
V184,vesta_V,float32,450721,76.32,17,0.0,16.0
V185,vesta_V,float32,450721,76.32,32,0.0,31.0
V186,vesta_V,float32,450909,76.36,39,0.0,38.0
V187,vesta_V,float32,450909,76.36,215,0.0,218.0
V188,vesta_V,float32,450721,76.32,31,0.0,30.0
V189,vesta_V,float32,450721,76.32,31,0.0,30.0
V19,vesta_V,float32,76073,12.88,8,0.0,7.0
V190,vesta_V,float32,450909,76.36,43,0.0,42.0
V191,vesta_V,float32,450909,76.36,22,0.0,21.0
V192,vesta_V,float32,450909,76.36,45,0.0,44.0
V193,vesta_V,float32,450909,76.36,38,0.0,37.0
V194,vesta_V,float32,450721,76.32,8,0.0,7.0
V195,vesta_V,float32,450721,76.32,17,0.0,16.0
V196,vesta_V,float32,450909,76.36,39,0.0,38.0
V197,vesta_V,float32,450721,76.32,15,0.0,14.0
V198,vesta_V,float32,450721,76.32,22,0.0,21.0
V199,vesta_V,float32,450909,76.36,46,0.0,45.0
V2,vesta_V,float32,279287,47.29,9,0.0,8.0
V20,vesta_V,float32,76073,12.88,15,0.0,15.0
V200,vesta_V,float32,450721,76.32,46,0.0,45.0
V201,vesta_V,float32,450721,76.32,56,0.0,55.0
V202,vesta_V,float32,450909,76.36,10970,0.0,104060.0
V203,vesta_V,float32,450909,76.36,14951,0.0,139777.0
V204,vesta_V,float32,450909,76.36,12858,0.0,104060.0
V205,vesta_V,float32,450909,76.36,2240,0.0,55125.0
V206,vesta_V,float32,450909,76.36,1780,0.0,55125.0
V207,vesta_V,float32,450909,76.36,3246,0.0,55125.0
V208,vesta_V,float32,450721,76.32,2552,0.0,3300.0
V209,vesta_V,float32,450721,76.32,3451,0.0,8050.0
V21,vesta_V,float32,76073,12.88,6,0.0,5.0
V210,vesta_V,float32,450721,76.32,2836,0.0,3300.0
V211,vesta_V,float32,450909,76.36,7624,0.0,92888.0
V212,vesta_V,float32,450909,76.36,8868,0.0,129006.0
V213,vesta_V,float32,450909,76.36,8317,0.0,97628.0
V214,vesta_V,float32,450909,76.36,2282,0.0,104060.0
V215,vesta_V,float32,450909,76.36,2747,0.0,104060.0
V216,vesta_V,float32,450909,76.36,2532,0.0,104060.0
V217,vesta_V,float32,460110,77.91,304,0.0,303.0
V218,vesta_V,float32,460110,77.91,401,0.0,400.0
V219,vesta_V,float32,460110,77.91,379,0.0,378.0
V22,vesta_V,float32,76073,12.88,9,0.0,8.0
V220,vesta_V,float32,449124,76.05,26,0.0,25.0
V221,vesta_V,float32,449124,76.05,77,0.0,384.0
V222,vesta_V,float32,449124,76.05,76,0.0,384.0
V223,vesta_V,float32,460110,77.91,17,0.0,16.0
V224,vesta_V,float32,460110,77.91,79,0.0,144.0
V225,vesta_V,float32,460110,77.91,35,0.0,51.0
V226,vesta_V,float32,460110,77.91,81,0.0,242.0
V227,vesta_V,float32,449124,76.05,50,0.0,360.0
V228,vesta_V,float32,460110,77.91,55,0.0,54.0
V229,vesta_V,float32,460110,77.91,91,0.0,176.0
V23,vesta_V,float32,76073,12.88,14,0.0,13.0
V230,vesta_V,float32,460110,77.91,66,0.0,65.0
V231,vesta_V,float32,460110,77.91,294,0.0,293.0
V232,vesta_V,float32,460110,77.91,338,0.0,337.0
V233,vesta_V,float32,460110,77.91,333,0.0,332.0
V234,vesta_V,float32,449124,76.05,122,0.0,121.0
V235,vesta_V,float32,460110,77.91,24,0.0,23.0
V236,vesta_V,float32,460110,77.91,46,0.0,45.0
V237,vesta_V,float32,460110,77.91,40,0.0,39.0
V238,vesta_V,float32,449124,76.05,24,0.0,23.0
V239,vesta_V,float32,449124,76.05,24,0.0,23.0
V24,vesta_V,float32,76073,12.88,14,0.0,13.0
V240,vesta_V,float32,460110,77.91,6,0.0,7.0
V241,vesta_V,float32,460110,77.91,5,0.0,5.0
V242,vesta_V,float32,460110,77.91,21,0.0,20.0
V243,vesta_V,float32,460110,77.91,43,0.0,57.0
V244,vesta_V,float32,460110,77.91,23,0.0,22.0
V245,vesta_V,float32,449124,76.05,58,0.0,262.0
V246,vesta_V,float32,460110,77.91,46,0.0,45.0
V247,vesta_V,float32,460110,77.91,19,0.0,18.0
V248,vesta_V,float32,460110,77.91,23,0.0,36.0
V249,vesta_V,float32,460110,77.91,23,0.0,22.0
V25,vesta_V,float32,76073,12.88,7,0.0,7.0
V250,vesta_V,float32,449124,76.05,19,0.0,18.0
V251,vesta_V,float32,449124,76.05,19,0.0,18.0
V252,vesta_V,float32,460110,77.91,25,0.0,24.0
V253,vesta_V,float32,460110,77.91,66,0.0,163.0
V254,vesta_V,float32,460110,77.91,45,0.0,60.0
V255,vesta_V,float32,449124,76.05,46,0.0,87.0
V256,vesta_V,float32,449124,76.05,48,0.0,87.0
V257,vesta_V,float32,460110,77.91,49,0.0,48.0
V258,vesta_V,float32,460110,77.91,67,0.0,66.0
V259,vesta_V,float32,449124,76.05,68,0.0,285.0
V26,vesta_V,float32,76073,12.88,13,0.0,13.0
V260,vesta_V,float32,460110,77.91,9,0.0,8.0
V261,vesta_V,float32,460110,77.91,41,0.0,49.0
V262,vesta_V,float32,460110,77.91,21,0.0,20.0
V263,vesta_V,float32,460110,77.91,10422,0.0,153600.0
V264,vesta_V,float32,460110,77.91,13358,0.0,153600.0
V265,vesta_V,float32,460110,77.91,11757,0.0,153600.0
V266,vesta_V,float32,460110,77.91,2178,0.0,55125.0
V267,vesta_V,float32,460110,77.91,3616,0.0,55125.0
V268,vesta_V,float32,460110,77.91,2756,0.0,55125.0
V269,vesta_V,float32,460110,77.91,151,0.0,55125.0
V27,vesta_V,float32,76073,12.88,4,0.0,4.0
V270,vesta_V,float32,449124,76.05,2340,0.0,4000.0
V271,vesta_V,float32,449124,76.05,2787,0.0,4000.0
V272,vesta_V,float32,449124,76.05,2507,0.0,4000.0
V273,vesta_V,float32,460110,77.91,7177,0.0,51200.0
V274,vesta_V,float32,460110,77.91,8315,0.0,66000.0
V275,vesta_V,float32,460110,77.91,7776,0.0,51200.0
V276,vesta_V,float32,460110,77.91,2263,0.0,104060.0
V277,vesta_V,float32,460110,77.91,2540,0.0,104060.0
V278,vesta_V,float32,460110,77.91,2398,0.0,104060.0
V279,vesta_V,float32,12,0.0,881,0.0,880.0
V28,vesta_V,float32,76073,12.88,4,0.0,4.0
V280,vesta_V,float32,12,0.0,975,0.0,975.0
V281,vesta_V,float32,1269,0.21,23,0.0,22.0
V282,vesta_V,float32,1269,0.21,33,0.0,32.0
V283,vesta_V,float32,1269,0.21,62,0.0,68.0
V284,vesta_V,float32,12,0.0,13,0.0,12.0
V285,vesta_V,float32,12,0.0,96,0.0,95.0
V286,vesta_V,float32,12,0.0,9,0.0,8.0
V287,vesta_V,float32,12,0.0,32,0.0,31.0
V288,vesta_V,float32,1269,0.21,11,0.0,10.0
V289,vesta_V,float32,1269,0.21,13,0.0,12.0
V29,vesta_V,float32,76073,12.88,6,0.0,5.0
V290,vesta_V,float32,12,0.0,58,1.0,67.0
V291,vesta_V,float32,12,0.0,219,1.0,1055.0
V292,vesta_V,float32,12,0.0,173,1.0,323.0
V293,vesta_V,float32,12,0.0,870,0.0,869.0
V294,vesta_V,float32,12,0.0,1286,0.0,1286.0
V295,vesta_V,float32,12,0.0,928,0.0,928.0
V296,vesta_V,float32,1269,0.21,94,0.0,93.0
V297,vesta_V,float32,12,0.0,13,0.0,12.0
V298,vesta_V,float32,12,0.0,94,0.0,93.0
V299,vesta_V,float32,12,0.0,50,0.0,49.0
V3,vesta_V,float32,279287,47.29,10,0.0,9.0
V30,vesta_V,float32,76073,12.88,8,0.0,9.0
V300,vesta_V,float32,1269,0.21,12,0.0,11.0
V301,vesta_V,float32,1269,0.21,14,0.0,13.0
V302,vesta_V,float32,12,0.0,17,0.0,16.0
V303,vesta_V,float32,12,0.0,21,0.0,20.0
V304,vesta_V,float32,12,0.0,17,0.0,16.0
V305,vesta_V,float32,12,0.0,2,1.0,2.0
V306,vesta_V,float32,12,0.0,16210,0.0,108800.0
V307,vesta_V,float32,12,0.0,37367,0.0,145765.0
V308,vesta_V,float32,12,0.0,23064,0.0,108800.0
V309,vesta_V,float32,12,0.0,4236,0.0,55125.0
V31,vesta_V,float32,76073,12.88,8,0.0,7.0
V310,vesta_V,float32,12,0.0,19136,0.0,55125.0
V311,vesta_V,float32,12,0.0,3098,0.0,55125.0
V312,vesta_V,float32,12,0.0,8068,0.0,55125.0
V313,vesta_V,float32,1269,0.21,5529,0.0,4817.47021484375
V314,vesta_V,float32,1269,0.21,11377,0.0,7519.8701171875
V315,vesta_V,float32,1269,0.21,6973,0.0,4817.47021484375
V316,vesta_V,float32,12,0.0,9814,0.0,93736.0
V317,vesta_V,float32,12,0.0,15184,0.0,134021.0
V318,vesta_V,float32,12,0.0,12309,0.0,98476.0
V319,vesta_V,float32,12,0.0,4799,0.0,104060.0
V32,vesta_V,float32,76073,12.88,15,0.0,15.0
V320,vesta_V,float32,12,0.0,6439,0.0,104060.0
V321,vesta_V,float32,12,0.0,5560,0.0,104060.0
V322,vesta_V,float32,508189,86.05,881,0.0,880.0
V323,vesta_V,float32,508189,86.05,1411,0.0,1411.0
V324,vesta_V,float32,508189,86.05,976,0.0,976.0
V325,vesta_V,float32,508189,86.05,13,0.0,12.0
V326,vesta_V,float32,508189,86.05,45,0.0,44.0
V327,vesta_V,float32,508189,86.05,19,0.0,18.0
V328,vesta_V,float32,508189,86.05,16,0.0,15.0
V329,vesta_V,float32,508189,86.05,100,0.0,99.0
V33,vesta_V,float32,76073,12.88,7,0.0,7.0
V330,vesta_V,float32,508189,86.05,56,0.0,55.0
V331,vesta_V,float32,508189,86.05,1758,0.0,160000.0
V332,vesta_V,float32,508189,86.05,2453,0.0,160000.0
V333,vesta_V,float32,508189,86.05,1971,0.0,160000.0
V334,vesta_V,float32,508189,86.05,143,0.0,55125.0
V335,vesta_V,float32,508189,86.05,672,0.0,55125.0
V336,vesta_V,float32,508189,86.05,356,0.0,55125.0
V337,vesta_V,float32,508189,86.05,254,0.0,104060.0
V338,vesta_V,float32,508189,86.05,380,0.0,104060.0
V339,vesta_V,float32,508189,86.05,334,0.0,104060.0
V34,vesta_V,float32,76073,12.88,13,0.0,13.0
V35,vesta_V,float32,168969,28.61,4,0.0,3.0
V36,vesta_V,float32,168969,28.61,6,0.0,5.0
V37,vesta_V,float32,168969,28.61,55,0.0,54.0
V38,vesta_V,float32,168969,28.61,55,0.0,54.0
V39,vesta_V,float32,168969,28.61,16,0.0,15.0
V4,vesta_V,float32,279287,47.29,7,0.0,6.0
V40,vesta_V,float32,168969,28.61,18,0.0,24.0
V41,vesta_V,float32,168969,28.61,2,0.0,1.0
V42,vesta_V,float32,168969,28.61,9,0.0,8.0
V43,vesta_V,float32,168969,28.61,9,0.0,8.0
V44,vesta_V,float32,168969,28.61,49,0.0,48.0
V45,vesta_V,float32,168969,28.61,49,0.0,48.0
V46,vesta_V,float32,168969,28.61,7,0.0,6.0
V47,vesta_V,float32,168969,28.61,9,0.0,12.0
V48,vesta_V,float32,168969,28.61,6,0.0,5.0
V49,vesta_V,float32,168969,28.61,6,0.0,5.0
V5,vesta_V,float32,279287,47.29,7,0.0,6.0
V50,vesta_V,float32,168969,28.61,6,0.0,5.0
V51,vesta_V,float32,168969,28.61,7,0.0,6.0
V52,vesta_V,float32,168969,28.61,9,0.0,12.0
V53,vesta_V,float32,77096,13.06,6,0.0,5.0
V54,vesta_V,float32,77096,13.06,7,0.0,6.0
V55,vesta_V,float32,77096,13.06,18,0.0,17.0
V56,vesta_V,float32,77096,13.06,52,0.0,51.0
V57,vesta_V,float32,77096,13.06,7,0.0,6.0
V58,vesta_V,float32,77096,13.06,11,0.0,10.0
V59,vesta_V,float32,77096,13.06,17,0.0,16.0
V6,vesta_V,float32,279287,47.29,10,0.0,9.0
V60,vesta_V,float32,77096,13.06,17,0.0,16.0
V61,vesta_V,float32,77096,13.06,7,0.0,6.0
V62,vesta_V,float32,77096,13.06,11,0.0,10.0
V63,vesta_V,float32,77096,13.06,8,0.0,7.0
V64,vesta_V,float32,77096,13.06,8,0.0,7.0
V65,vesta_V,float32,77096,13.06,2,0.0,1.0
V66,vesta_V,float32,77096,13.06,8,0.0,7.0
V67,vesta_V,float32,77096,13.06,9,0.0,8.0
V68,vesta_V,float32,77096,13.06,3,0.0,2.0
V69,vesta_V,float32,77096,13.06,6,0.0,5.0
V7,vesta_V,float32,279287,47.29,10,0.0,9.0
V70,vesta_V,float32,77096,13.06,7,0.0,6.0
V71,vesta_V,float32,77096,13.06,7,0.0,6.0
V72,vesta_V,float32,77096,13.06,11,0.0,10.0
V73,vesta_V,float32,77096,13.06,8,0.0,7.0
V74,vesta_V,float32,77096,13.06,9,0.0,8.0
V75,vesta_V,float32,89164,15.1,5,0.0,4.0
V76,vesta_V,float32,89164,15.1,7,0.0,6.0
V77,vesta_V,float32,89164,15.1,31,0.0,30.0
V78,vesta_V,float32,89164,15.1,32,0.0,31.0
V79,vesta_V,float32,89164,15.1,8,0.0,7.0
V8,vesta_V,float32,279287,47.29,9,0.0,8.0
V80,vesta_V,float32,89164,15.1,20,0.0,19.0
V81,vesta_V,float32,89164,15.1,20,0.0,19.0
V82,vesta_V,float32,89164,15.1,8,0.0,7.0
V83,vesta_V,float32,89164,15.1,8,0.0,7.0
V84,vesta_V,float32,89164,15.1,8,0.0,7.0
V85,vesta_V,float32,89164,15.1,8,0.0,7.0
V86,vesta_V,float32,89164,15.1,31,0.0,30.0
V87,vesta_V,float32,89164,15.1,31,0.0,30.0
V88,vesta_V,float32,89164,15.1,2,0.0,1.0
V89,vesta_V,float32,89164,15.1,3,0.0,2.0
V9,vesta_V,float32,279287,47.29,9,0.0,8.0
V90,vesta_V,float32,89164,15.1,6,0.0,5.0
V91,vesta_V,float32,89164,15.1,7,0.0,6.0
V92,vesta_V,float32,89164,15.1,8,0.0,7.0
V93,vesta_V,float32,89164,15.1,8,0.0,7.0
V94,vesta_V,float32,89164,15.1,3,0.0,2.0
V95,vesta_V,float32,314,0.05,881,0.0,880.0
V96,vesta_V,float32,314,0.05,1410,0.0,1410.0
V97,vesta_V,float32,314,0.05,976,0.0,976.0
V98,vesta_V,float32,314,0.05,13,0.0,12.0
V99,vesta_V,float32,314,0.05,89,0.0,88.0
