column,dominant_value,dominant_share,rare_rows,rare_fraud_rate,fraud_lift,decision,reason
V137,0.0,0.94924,23982,,,keep,not near-constant
V138,nan,0.85246,69704,,,keep,not near-constant
V139,nan,0.85246,69704,,,keep,not near-constant
V140,nan,0.85246,69704,,,keep,not near-constant
V141,nan,0.85246,69704,,,keep,not near-constant
V142,nan,0.85246,69704,,,keep,not near-constant
V143,nan,0.85246,69704,,,keep,not near-constant
V144,nan,0.85246,69704,,,keep,not near-constant
V145,nan,0.85246,69704,,,keep,not near-constant
V146,nan,0.85246,69704,,,keep,not near-constant
V147,nan,0.85246,69704,,,keep,not near-constant
V148,nan,0.85246,69704,,,keep,not near-constant
V149,nan,0.85246,69704,,,keep,not near-constant
V150,nan,0.85246,69704,,,keep,not near-constant
V151,nan,0.85246,69704,,,keep,not near-constant
V152,nan,0.85246,69704,,,keep,not near-constant
V153,nan,0.85246,69704,,,keep,not near-constant
V154,nan,0.85246,69704,,,keep,not near-constant
V155,nan,0.85246,69704,,,keep,not near-constant
V156,nan,0.85246,69704,,,keep,not near-constant
V157,nan,0.85246,69704,,,keep,not near-constant
V158,nan,0.85246,69704,,,keep,not near-constant
V159,nan,0.85246,69704,,,keep,not near-constant
V160,nan,0.85246,69704,,,keep,not near-constant
V161,nan,0.85246,69704,,,keep,not near-constant
V162,nan,0.85246,69704,,,keep,not near-constant
V163,nan,0.85246,69704,,,keep,not near-constant
V164,nan,0.85246,69704,,,keep,not near-constant
V165,nan,0.85246,69704,,,keep,not near-constant
V166,nan,0.85246,69704,,,keep,not near-constant
V167,nan,0.75341,116499,,,keep,not near-constant
V168,nan,0.75341,116499,,,keep,not near-constant
V169,nan,0.75305,116665,,,keep,not near-constant
V170,nan,0.75305,116665,,,keep,not near-constant
V171,nan,0.75305,116665,,,keep,not near-constant
V172,nan,0.75341,116499,,,keep,not near-constant
V173,nan,0.75341,116499,,,keep,not near-constant
V174,nan,0.75305,116665,,,keep,not near-constant
V175,nan,0.75305,116665,,,keep,not near-constant
V176,nan,0.75341,116499,,,keep,not near-constant
V177,nan,0.75341,116499,,,keep,not near-constant
V178,nan,0.75341,116499,,,keep,not near-constant
V179,nan,0.75341,116499,,,keep,not near-constant
V180,nan,0.75305,116665,,,keep,not near-constant
V181,nan,0.75341,116499,,,keep,not near-constant
V182,nan,0.75341,116499,,,keep,not near-constant
V183,nan,0.75341,116499,,,keep,not near-constant
V184,nan,0.75305,116665,,,keep,not near-constant
V185,nan,0.75305,116665,,,keep,not near-constant
V186,nan,0.75341,116499,,,keep,not near-constant
V187,nan,0.75341,116499,,,keep,not near-constant
V188,nan,0.75305,116665,,,keep,not near-constant
V189,nan,0.75305,116665,,,keep,not near-constant
V190,nan,0.75341,116499,,,keep,not near-constant
V191,nan,0.75341,116499,,,keep,not near-constant
V192,nan,0.75341,116499,,,keep,not near-constant
V193,nan,0.75341,116499,,,keep,not near-constant
V194,nan,0.75305,116665,,,keep,not near-constant
V195,nan,0.75305,116665,,,keep,not near-constant
V196,nan,0.75341,116499,,,keep,not near-constant
V197,nan,0.75305,116665,,,keep,not near-constant
V198,nan,0.75305,116665,,,keep,not near-constant
V199,nan,0.75341,116499,,,keep,not near-constant
V200,nan,0.75305,116665,,,keep,not near-constant
V201,nan,0.75305,116665,,,keep,not near-constant
V202,nan,0.75341,116499,,,keep,not near-constant
V203,nan,0.75341,116499,,,keep,not near-constant
V204,nan,0.75341,116499,,,keep,not near-constant
V205,nan,0.75341,116499,,,keep,not near-constant
V206,nan,0.75341,116499,,,keep,not near-constant
V207,nan,0.75341,116499,,,keep,not near-constant
V208,nan,0.75305,116665,,,keep,not near-constant
V209,nan,0.75305,116665,,,keep,not near-constant
V210,nan,0.75305,116665,,,keep,not near-constant
V211,nan,0.75341,116499,,,keep,not near-constant
V212,nan,0.75341,116499,,,keep,not near-constant
V213,nan,0.75341,116499,,,keep,not near-constant
V214,nan,0.75341,116499,,,keep,not near-constant
V215,nan,0.75341,116499,,,keep,not near-constant
V216,nan,0.75341,116499,,,keep,not near-constant
V217,nan,0.7673,109935,,,keep,not near-constant
V218,nan,0.7673,109935,,,keep,not near-constant
V219,nan,0.7673,109935,,,keep,not near-constant
V220,nan,0.75019,118020,,,keep,not near-constant
V221,nan,0.75019,118020,,,keep,not near-constant
V222,nan,0.75019,118020,,,keep,not near-constant
V223,nan,0.7673,109935,,,keep,not near-constant
V224,nan,0.7673,109935,,,keep,not near-constant
V225,nan,0.7673,109935,,,keep,not near-constant
V226,nan,0.7673,109935,,,keep,not near-constant
V227,nan,0.75019,118020,,,keep,not near-constant
V228,nan,0.7673,109935,,,keep,not near-constant
V229,nan,0.7673,109935,,,keep,not near-constant
V230,nan,0.7673,109935,,,keep,not near-constant
V231,nan,0.7673,109935,,,keep,not near-constant
V232,nan,0.7673,109935,,,keep,not near-constant
V233,nan,0.7673,109935,,,keep,not near-constant
V234,nan,0.75019,118020,,,keep,not near-constant
V235,nan,0.7673,109935,,,keep,not near-constant
V236,nan,0.7673,109935,,,keep,not near-constant
V237,nan,0.7673,109935,,,keep,not near-constant
V238,nan,0.75019,118020,,,keep,not near-constant
V239,nan,0.75019,118020,,,keep,not near-constant
V240,nan,0.7673,109935,,,keep,not near-constant
V241,nan,0.7673,109935,,,keep,not near-constant
V242,nan,0.7673,109935,,,keep,not near-constant
V243,nan,0.7673,109935,,,keep,not near-constant
V244,nan,0.7673,109935,,,keep,not near-constant
V245,nan,0.75019,118020,,,keep,not near-constant
V246,nan,0.7673,109935,,,keep,not near-constant
V247,nan,0.7673,109935,,,keep,not near-constant
V248,nan,0.7673,109935,,,keep,not near-constant
V249,nan,0.7673,109935,,,keep,not near-constant
V250,nan,0.75019,118020,,,keep,not near-constant
V251,nan,0.75019,118020,,,keep,not near-constant
V252,nan,0.7673,109935,,,keep,not near-constant
V253,nan,0.7673,109935,,,keep,not near-constant
V254,nan,0.7673,109935,,,keep,not near-constant
V255,nan,0.75019,118020,,,keep,not near-constant
V256,nan,0.75019,118020,,,keep,not near-constant
V257,nan,0.7673,109935,,,keep,not near-constant
V258,nan,0.7673,109935,,,keep,not near-constant
V259,nan,0.75019,118020,,,keep,not near-constant
V260,nan,0.7673,109935,,,keep,not near-constant
V261,nan,0.7673,109935,,,keep,not near-constant
V262,nan,0.7673,109935,,,keep,not near-constant
V263,nan,0.7673,109935,,,keep,not near-constant
V264,nan,0.7673,109935,,,keep,not near-constant
V265,nan,0.7673,109935,,,keep,not near-constant
V266,nan,0.7673,109935,,,keep,not near-constant
V267,nan,0.7673,109935,,,keep,not near-constant
V268,nan,0.7673,109935,,,keep,not near-constant
V269,nan,0.7673,109935,,,keep,not near-constant
V270,nan,0.75019,118020,,,keep,not near-constant
V271,nan,0.75019,118020,,,keep,not near-constant
V272,nan,0.75019,118020,,,keep,not near-constant
V273,nan,0.7673,109935,,,keep,not near-constant
V274,nan,0.7673,109935,,,keep,not near-constant
V275,nan,0.7673,109935,,,keep,not near-constant
V276,nan,0.7673,109935,,,keep,not near-constant
V277,nan,0.7673,109935,,,keep,not near-constant
V278,nan,0.7673,109935,,,keep,not near-constant
V279,0.0,0.83793,76569,,,keep,not near-constant
V280,0.0,0.72345,130653,,,keep,not near-constant
V281,0.0,0.95009,23579,,,keep,not near-constant
V282,1.0,0.54642,214284,,,keep,not near-constant
V283,1.0,0.49323,239416,,,keep,not near-constant
V284,0.0,0.92495,35456,,,keep,not near-constant
V285,0.0,0.61225,183184,,,keep,not near-constant
V286,0.0,0.97006,14144,,,keep,not near-constant
V287,0.0,0.7973,95761,,,keep,not near-constant
V288,0.0,0.83321,78795,,,keep,not near-constant
V289,0.0,0.82876,80899,,,keep,not near-constant
V290,1.0,0.93557,30439,,,keep,not near-constant
V291,1.0,0.785,101571,,,keep,not near-constant
V292,1.0,0.88539,54145,,,keep,not near-constant
V293,0.0,0.92834,33856,,,keep,not near-constant
V294,0.0,0.88263,55448,,,keep,not near-constant
V295,0.0,0.9092,42899,,,keep,not near-constant
V296,0.0,0.91385,40701,,,keep,not near-constant
V297,0.0,0.95642,20589,,,keep,not near-constant
V298,0.0,0.92389,35959,,,keep,not near-constant
V299,0.0,0.94476,26095,,,keep,not near-constant
V300,0.0,0.96505,16510,,,keep,not near-constant
V301,0.0,0.96152,18181,,,keep,not near-constant
V302,0.0,0.75203,117150,,,keep,not near-constant
V303,0.0,0.75079,117736,,,keep,not near-constant
V304,0.0,0.75141,117444,,,keep,not near-constant
V305,1.0,0.99997,16,,,drop,"near-constant, only 16 rare rows"
V306,0.0,0.83793,76569,,,keep,not near-constant
V307,0.0,0.5483,213398,,,keep,not near-constant
V308,0.0,0.72345,130653,,,keep,not near-constant
V309,0.0,0.92495,35456,,,keep,not near-constant
V310,0.0,0.61225,183184,,,keep,not near-constant
V311,0.0,0.97006,14144,,,keep,not near-constant
V312,0.0,0.7973,95761,,,keep,not near-constant
V313,0.0,0.83321,78795,,,keep,not near-constant
V314,0.0,0.80617,91572,,,keep,not near-constant
V315,0.0,0.82876,80899,,,keep,not near-constant
V316,0.0,0.92834,33856,,,keep,not near-constant
V317,0.0,0.88263,55448,,,keep,not near-constant
V318,0.0,0.9092,42899,,,keep,not near-constant
V319,0.0,0.95642,20589,,,keep,not near-constant
V320,0.0,0.92389,35959,,,keep,not near-constant
V321,0.0,0.94476,26095,,,keep,not near-constant
V322,nan,0.85179,70021,,,keep,not near-constant
V323,nan,0.85179,70021,,,keep,not near-constant
V324,nan,0.85179,70021,,,keep,not near-constant
V325,nan,0.85179,70021,,,keep,not near-constant
V326,nan,0.85179,70021,,,keep,not near-constant
V327,nan,0.85179,70021,,,keep,not near-constant
V328,nan,0.85179,70021,,,keep,not near-constant
V329,nan,0.85179,70021,,,keep,not near-constant
V330,nan,0.85179,70021,,,keep,not near-constant
V331,nan,0.85179,70021,,,keep,not near-constant
V332,nan,0.85179,70021,,,keep,not near-constant
V333,nan,0.85179,70021,,,keep,not near-constant
V334,nan,0.85179,70021,,,keep,not near-constant
V335,nan,0.85179,70021,,,keep,not near-constant
V336,nan,0.85179,70021,,,keep,not near-constant
V337,nan,0.85179,70021,,,keep,not near-constant
V338,nan,0.85179,70021,,,keep,not near-constant
V339,nan,0.85179,70021,,,keep,not near-constant
id_01,nan,0.74501,120464,,,keep,not near-constant
id_02,nan,0.7509,117683,,,keep,not near-constant
id_03,nan,0.88551,54090,,,keep,not near-constant
id_04,nan,0.88551,54090,,,keep,not near-constant
id_05,nan,0.75766,114487,,,keep,not near-constant
id_06,nan,0.75766,114487,,,keep,not near-constant
id_07,nan,0.99098,4261,0.07839,2.231,keep,rescued: rare values linked to fraud
id_08,nan,0.99098,4261,0.07839,2.231,keep,rescued: rare values linked to fraud
id_09,nan,0.86959,61610,,,keep,not near-constant
id_10,nan,0.86959,61610,,,keep,not near-constant
id_11,nan,0.75066,117796,,,keep,not near-constant
id_12,nan,0.74501,120464,,,keep,not near-constant
id_13,nan,0.77739,105170,,,keep,not near-constant
id_14,nan,0.8556,68217,,,keep,not near-constant
id_15,nan,0.75066,117796,,,keep,not near-constant
id_16,nan,0.77104,108168,,,keep,not near-constant
id_17,nan,0.75301,116685,,,keep,not near-constant
id_18,nan,0.92079,37422,,,keep,not near-constant
id_19,nan,0.7531,116645,,,keep,not near-constant
id_20,nan,0.75314,116625,,,keep,not near-constant
id_21,nan,0.99098,4263,0.07835,2.23,keep,rescued: rare values linked to fraud
id_22,nan,0.99096,4273,0.07817,2.225,keep,rescued: rare values linked to fraud
id_23,nan,0.99096,4273,0.07817,2.225,keep,rescued: rare values linked to fraud
id_24,nan,0.99172,3914,0.08048,2.291,keep,rescued: rare values linked to fraud
id_25,nan,0.99101,4246,0.07819,2.225,keep,rescued: rare values linked to fraud
id_26,nan,0.99097,4267,0.07804,2.221,keep,rescued: rare values linked to fraud
id_27,nan,0.99096,4273,0.07817,2.225,keep,rescued: rare values linked to fraud
id_28,nan,0.75066,117796,,,keep,not near-constant
id_29,nan,0.75066,117796,,,keep,not near-constant
id_30,nan,0.86011,66089,,,keep,not near-constant
id_31,nan,0.75137,117463,,,keep,not near-constant
id_32,nan,0.86006,66110,,,keep,not near-constant
id_33,nan,0.86916,61813,,,keep,not near-constant
id_34,nan,0.85995,66164,,,keep,not near-constant
id_35,nan,0.75066,117796,,,keep,not near-constant
id_36,nan,0.75066,117796,,,keep,not near-constant
id_37,nan,0.75066,117796,,,keep,not near-constant
id_38,nan,0.75066,117796,,,keep,not near-constant
DeviceType,nan,0.75099,117638,,,keep,not near-constant
DeviceInfo,nan,0.78931,99536,,,keep,not near-constant
has_identity,0,0.74501,120464,,,keep,not near-constant
