feature,kind,source,missing_pct_train,missing_pct_test
V96,base_numeric,V96,0.05,0.0
V98,base_numeric,V98,0.05,0.0
V100,base_numeric,V100,0.05,0.0
V103,base_numeric,V103,0.05,0.0
V106,base_numeric,V106,0.05,0.0
V105,base_numeric,V105,0.05,0.0
V108,base_numeric,V108,0.05,0.0
V109,base_numeric,V109,0.05,0.0
V111,base_numeric,V111,0.05,0.0
V114,base_numeric,V114,0.05,0.0
V115,base_numeric,V115,0.05,0.0
V117,base_numeric,V117,0.05,0.0
V118,base_numeric,V118,0.05,0.0
V120,base_numeric,V120,0.05,0.0
V121,base_numeric,V121,0.05,0.0
V123,base_numeric,V123,0.05,0.0
V124,base_numeric,V124,0.05,0.0
V128,base_numeric,V128,0.05,0.0
V127,base_numeric,V127,0.05,0.0
V131,base_numeric,V131,0.05,0.0
V130,base_numeric,V130,0.05,0.0
V134,base_numeric,V134,0.05,0.0
V136,base_numeric,V136,0.05,0.0
V293,base_numeric,V293,0.0,0.0
V307,base_numeric,V307,0.0,0.0
V284,base_numeric,V284,0.0,0.0
V285,base_numeric,V285,0.0,0.0
V286,base_numeric,V286,0.0,0.0
V297,base_numeric,V297,0.0,0.0
V298,base_numeric,V298,0.0,0.0
V299,base_numeric,V299,0.0,0.0
V303,base_numeric,V303,0.0,0.0
V308,base_numeric,V308,0.0,0.0
V312,base_numeric,V312,0.0,0.0
V310,base_numeric,V310,0.0,0.0
V316,base_numeric,V316,0.0,0.0
V318,base_numeric,V318,0.0,0.0
V320,base_numeric,V320,0.0,0.0
V168,base_numeric,V168,76.36,73.01
V203,base_numeric,V203,76.36,73.01
V173,base_numeric,V173,76.36,73.01
V183,base_numeric,V183,76.36,73.01
V215,base_numeric,V215,76.36,73.01
V202,base_numeric,V202,76.36,73.01
V205,base_numeric,V205,76.36,73.01
V211,base_numeric,V211,76.36,73.01
V13,base_numeric,V13,12.88,2.48
V14,base_numeric,V14,12.88,2.48
V17,base_numeric,V17,12.88,2.48
V20,base_numeric,V20,12.88,2.48
V23,base_numeric,V23,12.88,2.48
V26,base_numeric,V26,12.88,2.48
V27,base_numeric,V27,12.88,2.48
V30,base_numeric,V30,12.88,2.48
V54,base_numeric,V54,13.06,2.55
V56,base_numeric,V56,13.06,2.55
V60,base_numeric,V60,13.06,2.55
V62,base_numeric,V62,13.06,2.55
V65,base_numeric,V65,13.06,2.55
V67,base_numeric,V67,13.06,2.55
V68,base_numeric,V68,13.06,2.55
V70,base_numeric,V70,13.06,2.55
V76,base_numeric,V76,15.1,2.38
V77,base_numeric,V77,15.1,2.38
V80,base_numeric,V80,15.1,2.38
V82,base_numeric,V82,15.1,2.38
V86,base_numeric,V86,15.1,2.38
V88,base_numeric,V88,15.1,2.38
V89,base_numeric,V89,15.1,2.38
V91,base_numeric,V91,15.1,2.38
V169,base_numeric,V169,76.32,73.09
V171,base_numeric,V171,76.32,73.09
V175,base_numeric,V175,76.32,73.09
V180,base_numeric,V180,76.32,73.09
V184,base_numeric,V184,76.32,73.09
V189,base_numeric,V189,76.32,73.09
V197,base_numeric,V197,76.32,73.09
V198,base_numeric,V198,76.32,73.09
V210,base_numeric,V210,76.32,73.09
V209,base_numeric,V209,76.32,73.09
V36,base_numeric,V36,28.61,15.17
V37,base_numeric,V37,28.61,15.17
V40,base_numeric,V40,28.61,15.17
V41,base_numeric,V41,28.61,15.17
V44,base_numeric,V44,28.61,15.17
V47,base_numeric,V47,28.61,15.17
V48,base_numeric,V48,28.61,15.17
V52,base_numeric,V52,28.61,15.17
V138,base_numeric,V138,86.12,85.04
V139,base_numeric,V139,86.12,85.04
V142,base_numeric,V142,86.12,85.04
V146,base_numeric,V146,86.12,85.04
V156,base_numeric,V156,86.12,85.04
V162,base_numeric,V162,86.12,85.04
V324,base_numeric,V324,86.05,84.92
V323,base_numeric,V323,86.05,84.92
V325,base_numeric,V325,86.05,84.92
V328,base_numeric,V328,86.05,84.92
V329,base_numeric,V329,86.05,84.92
V332,base_numeric,V332,86.05,84.92
V335,base_numeric,V335,86.05,84.92
V220,base_numeric,V220,76.05,72.9
V221,base_numeric,V221,76.05,72.9
V234,base_numeric,V234,76.05,72.9
V238,base_numeric,V238,76.05,72.9
V250,base_numeric,V250,76.05,72.9
V271,base_numeric,V271,76.05,72.9
V1,base_numeric,V1,47.29,34.84
V2,base_numeric,V2,47.29,34.84
V3,base_numeric,V3,47.29,34.84
V5,base_numeric,V5,47.29,34.84
V7,base_numeric,V7,47.29,34.84
V8,base_numeric,V8,47.29,34.84
V10,base_numeric,V10,47.29,34.84
V160,base_numeric,V160,86.12,84.99
V166,base_numeric,V166,86.12,84.99
V281,base_numeric,V281,0.21,1.19
V282,base_numeric,V282,0.21,1.19
V283,base_numeric,V283,0.21,1.19
V289,base_numeric,V289,0.21,1.19
V296,base_numeric,V296,0.21,1.19
V300,base_numeric,V300,0.21,1.19
V314,base_numeric,V314,0.21,1.19
hour,derived_time,TransactionDT,0.0,0.0
day_of_week,derived_time,TransactionDT,0.0,0.0
amount_log,derived_amount,TransactionAmt,0.0,0.0
amount_cents,derived_amount,TransactionAmt,0.0,0.0
amount_is_round,derived_amount,TransactionAmt,0.0,0.0
match_true_count,derived_match,M1-M9,0.0,0.0
match_missing_count,derived_match,M1-M9,0.0,0.0
screen_width,derived_screen,id_33,87.59,86.05
screen_height,derived_screen,id_33,87.59,86.05
screen_area,derived_screen,id_33,87.59,86.05
email_domains_match,derived_email,P/R_emaildomain,78.63,75.33
ProductCD_code,category_code,ProductCD,0.0,0.0
card4_code,category_code,card4,0.0,0.0
card6_code,category_code,card6,0.0,0.0
P_emaildomain_code,category_code,P_emaildomain,0.0,0.0
R_emaildomain_code,category_code,R_emaildomain,0.0,0.0
M1_code,category_code,M1,0.0,0.0
M2_code,category_code,M2,0.0,0.0
M3_code,category_code,M3,0.0,0.0
M4_code,category_code,M4,0.0,0.0
M5_code,category_code,M5,0.0,0.0
M6_code,category_code,M6,0.0,0.0
M7_code,category_code,M7,0.0,0.0
M8_code,category_code,M8,0.0,0.0
M9_code,category_code,M9,0.0,0.0
id_12_code,category_code,id_12,0.0,0.0
id_15_code,category_code,id_15,0.0,0.0
id_16_code,category_code,id_16,0.0,0.0
id_23_code,category_code,id_23,0.0,0.0
id_27_code,category_code,id_27,0.0,0.0
id_28_code,category_code,id_28,0.0,0.0
id_29_code,category_code,id_29,0.0,0.0
id_30_code,category_code,id_30,0.0,0.0
id_31_code,category_code,id_31,0.0,0.0
id_33_code,category_code,id_33,0.0,0.0
id_34_code,category_code,id_34,0.0,0.0
id_35_code,category_code,id_35,0.0,0.0
id_36_code,category_code,id_36,0.0,0.0
id_37_code,category_code,id_37,0.0,0.0
id_38_code,category_code,id_38,0.0,0.0
DeviceType_code,category_code,DeviceType,0.0,0.0
DeviceInfo_code,category_code,DeviceInfo,0.0,0.0
P_email_provider_code,category_code,P_email_provider,0.0,0.0
P_email_suffix_code,category_code,P_email_suffix,0.0,0.0
R_email_provider_code,category_code,R_email_provider,0.0,0.0
R_email_suffix_code,category_code,R_email_suffix,0.0,0.0
device_brand_code,category_code,device_brand,0.0,0.0
browser_family_code,category_code,browser_family,0.0,0.0
card1_addr1_code,category_code,card1_addr1,0.0,0.0
card1_freq,frequency,card1,0.0,0.0
card2_freq,frequency,card2,0.0,0.0
card3_freq,frequency,card3,0.0,0.0
card5_freq,frequency,card5,0.0,0.0
addr1_freq,frequency,addr1,0.0,0.0
addr2_freq,frequency,addr2,0.0,0.0
P_emaildomain_freq,frequency,P_emaildomain,0.0,0.0
R_emaildomain_freq,frequency,R_emaildomain,0.0,0.0
DeviceInfo_freq,frequency,DeviceInfo,0.0,0.0
id_30_freq,frequency,id_30,0.0,0.0
id_31_freq,frequency,id_31,0.0,0.0
id_33_freq,frequency,id_33,0.0,0.0
card1_addr1_freq,frequency,card1_addr1,0.0,0.0
uid_freq,frequency,uid,0.0,0.0
P_email_provider_freq,frequency,P_email_provider,0.0,0.0
R_email_provider_freq,frequency,R_email_provider,0.0,0.0
device_brand_freq,frequency,device_brand,0.0,0.0
browser_family_freq,frequency,browser_family,0.0,0.0
TransactionAmt_mean_by_card1,aggregate,TransactionAmt by card1,0.22,2.22
TransactionAmt_std_by_card1,aggregate,TransactionAmt by card1,0.96,3.27
TransactionAmt_ratio_to_card1_mean,aggregate,TransactionAmt by card1,0.22,2.22
TransactionAmt_mean_by_addr1,aggregate,TransactionAmt by addr1,0.0,0.04
TransactionAmt_std_by_addr1,aggregate,TransactionAmt by addr1,0.02,0.05
TransactionAmt_ratio_to_addr1_mean,aggregate,TransactionAmt by addr1,0.0,0.04
TransactionAmt_mean_by_card1_addr1,aggregate,TransactionAmt by card1_addr1,0.84,6.8
TransactionAmt_std_by_card1_addr1,aggregate,TransactionAmt by card1_addr1,3.82,9.62
TransactionAmt_ratio_to_card1_addr1_mean,aggregate,TransactionAmt by card1_addr1,0.84,6.8
TransactionAmt_mean_by_uid,aggregate,TransactionAmt by uid,11.3,81.94
TransactionAmt_std_by_uid,aggregate,TransactionAmt by uid,30.54,84.96
TransactionAmt_ratio_to_uid_mean,aggregate,TransactionAmt by uid,11.3,81.94
D15_mean_by_card1,aggregate,D15 by card1,1.26,3.27
D15_std_by_card1,aggregate,D15 by card1,2.33,4.58
D15_ratio_to_card1_mean,aggregate,D15 by card1,16.38,7.18
D15_mean_by_uid,aggregate,D15 by uid,20.63,82.2
D15_std_by_uid,aggregate,D15 by uid,36.42,85.23
D15_ratio_to_uid_mean,aggregate,D15 by uid,39.72,84.01
